second,fixed_accepted,aimd_accepted,fixed_rejected,aimd_rejected,fixed_p95_ms,aimd_p95_ms,fixed_limit,aimd_limit,fixed_gc_freq,aimd_gc_freq
0,83,36,0,0,439.647,692.638,95,15,0,0
1,83,53,0,0,845.62,1240.548,95,22,1,0
2,78,70,0,0,636.592,1648.984,95,33,1,1
3,89,111,0,0,869.913,1589.903,95,23,1,1
4,78,72,0,0,743.104,1776.241,95,23,1,1
5,87,64,0,0,906.301,1683.104,95,23,1,1
6,84,67,0,10,970.873,1836.194,95,24,1,1
7,90,80,0,4,944.35,1923.555,95,25,2,1
8,91,71,0,12,875.154,2084.35,95,26,1,1
9,79,79,0,20,845.319,2015.154,95,27,1,1
10,92,80,0,9,852.75,2007.391,95,28,1,1
11,79,92,0,0,800.252,1852.75,95,29,1,1
12,102,85,0,0,727.666,1880.252,95,30,1,1
13,92,98,0,0,846.002,1847.421,95,31,1,1
14,71,98,0,0,800.053,1786.002,95,32,1,2
15,69,100,0,0,697.84,1736.534,95,33,1,1
16,97,104,0,0,901.486,1448.372,95,34,2,1
17,84,105,0,0,601.733,1022.315,95,23,1,2
18,80,64,0,0,999.405,1180.574,95,23,1,0
19,79,72,0,0,912.492,1187.495,95,23,1,1
20,92,62,0,0,934.852,1241.116,95,24,1,1
21,79,69,0,0,991.661,1510.989,95,25,1,1
22,75,78,0,0,944.928,1682.247,95,26,1,1
23,74,78,0,0,839.841,1778.495,95,27,1,1
24,81,74,0,0,992.261,1715.444,95,28,1,2
25,78,77,0,0,939.802,1883.311,95,29,1,1
26,71,91,0,0,772.464,1689.15,95,30,1,1
27,82,98,0,0,836.699,1692.464,95,31,1,1
28,93,95,0,0,868.607,1437.107,95,32,2,1
29,95,96,0,0,843.567,1243.567,95,33,1,2
30,100,100,0,0,787.687,1306.859,95,34,1,1
31,65,98,0,0,988.349,1268.349,95,35,1,1
32,94,93,0,0,887.22,887.22,95,36,2,2
33,92,93,0,0,977.553,1057.553,95,37,1,1
34,92,92,0,0,982.974,989.11,95,38,1,1
35,104,104,0,0,795.727,795.727,95,26,1,1
36,111,73,0,0,1124.05,1185.548,95,26,2,2
37,109,78,8,81,1495.65,1892.36,95,26,1,1
38,109,82,83,108,1842.046,2133.57,95,27,2,1
39,111,80,87,117,1958.645,1958.645,95,28,1,1
40,111,78,101,134,2039.821,2133.222,95,29,1,1
41,108,90,113,132,2036.931,2102.156,95,30,1,1
42,111,92,22,41,1840.816,1998.085,95,31,2,1
43,111,108,62,65,2004.437,2004.437,95,32,1,1
44,111,104,82,89,1757.527,1939.966,95,33,2,2
45,110,104,81,87,1940.598,2033.464,95,23,1,1
46,109,59,93,140,1973.427,2024.99,95,23,1,1
47,110,73,81,121,2032.845,1965.008,95,23,2,1
48,110,67,52,95,2019.354,2078.79,95,24,1,1
49,111,74,61,98,1959.246,1995.019,95,25,2,1
50,111,83,47,71,2026.416,2125.919,95,26,1,1
51,110,80,67,98,2111.208,2125.11,95,27,1,1
52,109,96,83,97,1980.213,1705.767,95,28,1,1
53,110,63,112,160,1987.442,2082.884,95,29,2,1
54,111,83,90,118,2142.084,2193.199,95,30,2,1
55,111,92,69,89,2055.537,2060.301,95,31,1,1
56,110,90,73,93,2111.556,2133.598,95,32,2,1
57,111,111,76,79,1924.419,1660.848,95,22,1,2
58,110,45,112,174,2081.213,2187.559,95,22,2,0
59,111,72,82,122,2070.992,2009.216,95,22,1,1
60,111,73,76,111,2109.244,2085.893,95,23,2,1
61,111,67,69,112,2053.162,2048.301,95,24,1,1
62,109,75,66,101,2006.129,2006.129,95,25,1,1
63,111,69,80,123,1949.58,2126.822,95,26,2,1
64,111,73,101,135,2122.83,2172.097,95,27,2,1
65,110,73,108,143,2093.395,2093.395,95,28,2,1
66,108,86,102,119,2185.474,1961.734,95,29,1,1
67,103,86,90,112,2024.512,1975.355,95,30,2,2
68,103,95,99,111,2104.297,2104.297,95,31,1,1
69,110,92,71,89,2163.468,2157.047,95,32,1,1
70,109,91,78,95,2066.024,2027.906,95,33,2,2
71,108,83,96,120,2190.818,2219.083,95,23,1,1
72,110,62,85,132,1998.87,2091.883,95,23,2,1
73,104,79,96,123,1997.803,1717.566,95,23,1,0
74,105,75,87,120,1983.777,1983.393,95,24,2,1
75,111,73,119,156,2172.059,2209.064,95,16,1,1
76,111,47,99,165,2030.483,2225.561,95,16,2,1
77,110,48,87,144,2069.922,2110.418,95,16,1,1
78,109,52,95,151,1865.097,2002.639,95,17,1,0
