second,fixed_accepted,aimd_accepted,fixed_rejected,aimd_rejected,fixed_p95_ms,aimd_p95_ms,fixed_limit,aimd_limit,fixed_gc_freq,aimd_gc_freq
0,83,46,0,0,439.647,634.205,95,25,0,0
1,83,89,0,0,845.62,1023.057,95,26,1,1
2,78,84,0,0,636.592,1088.984,95,27,1,1
3,89,83,0,0,869.913,1149.509,95,28,1,1
4,78,88,0,0,743.104,1134.457,95,29,1,1
5,87,89,0,0,906.301,1132.074,95,30,1,1
6,84,96,0,0,970.873,1106.301,95,31,1,1
7,90,85,0,0,944.35,1037.465,95,32,2,1
8,91,97,0,0,875.154,940.491,95,33,1,2
9,79,85,0,0,845.319,925.319,95,34,1,1
10,92,92,0,0,852.75,854.788,95,35,1,1
11,79,79,0,0,800.252,800.252,95,36,1,1
12,102,102,0,0,727.666,727.666,95,37,1,1
13,92,92,0,0,846.002,846.002,95,38,1,1
14,71,71,0,0,800.053,800.053,95,39,1,1
15,69,69,0,0,697.84,697.84,95,40,1,1
16,97,97,0,0,901.486,901.486,95,41,2,2
17,84,84,0,0,601.733,601.733,95,42,1,1
18,80,80,0,0,999.405,999.405,95,43,1,1
19,79,79,0,0,912.492,912.492,95,44,1,1
20,92,92,0,0,934.852,934.852,95,45,1,1
21,79,79,0,0,991.661,991.661,95,46,1,1
22,75,75,0,0,944.928,944.928,95,47,1,1
23,74,74,0,0,839.841,839.841,95,48,1,1
24,81,81,0,0,992.261,992.261,95,49,1,1
25,78,78,0,0,939.802,939.802,95,50,1,1
26,71,71,0,0,772.464,772.464,95,51,1,1
27,82,82,0,0,836.699,836.699,95,52,1,1
28,93,93,0,0,868.607,868.607,95,53,2,2
29,95,95,0,0,843.567,843.567,95,54,1,1
30,100,100,0,0,787.687,787.687,95,55,1,1
31,65,65,0,0,988.349,988.349,95,56,1,1
32,94,94,0,0,887.22,887.22,95,57,2,2
33,92,92,0,0,977.553,977.553,95,58,1,1
34,92,92,0,0,982.974,982.974,95,59,1,1
35,104,105,0,0,795.727,795.727,95,44,1,1
36,111,111,0,0,1124.05,1164.05,95,44,2,2
37,109,111,8,10,1495.65,1511.247,95,33,1,1
38,109,109,83,81,1842.046,1864.457,95,33,2,2
39,111,94,87,104,1958.645,2203.839,95,24,1,1
40,111,66,101,144,2039.821,2133.222,95,24,1,1
41,108,70,113,152,2036.931,2016.931,95,25,1,1
42,111,73,22,59,1840.816,2149.688,95,26,2,1
43,111,90,62,85,2004.437,2032.08,95,27,1,1
44,111,83,82,107,1757.527,1939.966,95,28,2,1
45,110,91,81,101,1940.598,2032.642,95,29,1,1
46,109,88,93,112,1973.427,1849.873,95,30,1,1
47,110,103,81,92,2032.845,1893.404,95,31,2,1
48,110,93,52,68,2019.354,2039.354,95,32,1,1
49,111,97,61,74,1959.246,1987.859,95,33,2,2
50,111,109,47,50,2026.416,2125.919,95,34,1,1
51,110,101,67,74,2111.208,2054.829,95,35,1,1
52,109,111,83,82,1980.213,1675.114,95,26,1,2
53,110,60,112,164,1987.442,2190.827,95,26,2,1
54,111,76,90,123,2142.084,2162.084,95,27,2,1
55,111,81,69,99,2055.537,2068.937,95,28,1,1
56,110,80,73,103,2111.556,2200.405,95,21,2,1
57,111,73,76,114,1924.419,1771.016,95,21,1,1
58,110,49,112,173,2081.213,2159.432,95,22,2,0
59,111,70,82,123,2070.992,1997.072,95,23,1,1
60,111,74,76,112,2109.244,2109.244,95,24,2,1
61,111,70,69,110,2053.162,2081.751,95,25,1,1
62,109,76,66,99,2006.129,2006.129,95,26,1,1
63,111,72,80,120,1949.58,2041.397,95,27,2,1
64,111,76,101,132,2122.83,2172.097,95,28,2,2
65,110,76,108,141,2093.395,2093.395,95,29,2,1
66,108,89,102,115,2185.474,1961.734,95,30,1,1
67,103,86,90,113,2024.512,2044.512,95,31,2,1
68,103,95,99,110,2104.297,2104.297,95,32,1,1
69,110,95,71,87,2163.468,2163.468,95,33,1,2
70,109,97,78,88,2066.024,2047.065,95,34,2,1
71,108,86,96,118,2190.818,2210.818,95,26,1,1
72,110,71,85,122,1998.87,2091.883,95,26,2,1
73,104,88,96,114,1997.803,1709.146,95,27,1,1
74,105,88,87,108,1983.777,1994.475,95,28,2,1
75,111,85,119,143,2172.059,2190.576,95,29,1,1
76,111,87,99,125,2030.483,2050.483,95,30,2,2
77,110,88,87,107,2069.922,2110.418,95,31,1,1
78,109,96,95,105,1865.097,2002.639,95,32,1,1
79,107,101,65,73,2105.052,1846.611,95,33,2,1
80,104,95,84,97,2087.289,2171.528,95,34,1,2
81,111,99,20,23,1849.228,2036.598,95,35,1,1
82,109,105,0,0,1909.751,1666.14,95,26,2,1
83,109,76,0,0,1523.499,1628.927,95,26,1,1
84,107,69,0,0,1401.041,1701.041,95,27,2,1
85,84,87,0,0,1072.877,1810.767,95,28,1,1
86,72,87,0,0,879.978,1820.257,95,29,1,2
87,85,91,0,0,874.372,1823.515,95,30,1,1
88,85,95,0,0,863.409,1540.948,95,31,1,1
89,88,94,0,0,676.053,1316.705,95,32,1,1
90,80,91,0,0,938.933,1458.933,95,33,1,2
91,72,102,0,0,884.284,1252.725,95,24,1,1
92,79,68,0,0,965.249,1049.542,95,24,1,1
93,79,77,0,0,756.171,968.158,95,25,1,1
94,96,90,0,0,728.309,718.85,95,26,1,1
95,93,68,0,0,878.846,1101.289,95,27,2,1
96,71,76,0,0,949.663,1309.663,95,28,1,1
97,82,82,0,0,819.607,1474.521,95,29,1,1
98,96,92,0,0,694.356,1270.668,95,30,1,1
99,92,85,0,0,977.529,1267.394,95,31,1,1
100,90,95,0,0,841.339,1377.441,95,32,1,2
101,93,92,0,0,817.492,1401.339,95,33,2,1
102,90,98,0,0,961.31,1489.015,95,34,1,1
103,78,93,0,0,923.701,1435.111,95,35,1,2
104,82,105,0,0,1015.16,1275.16,95,36,1,1
105,77,77,0,0,886.852,1183.609,95,37,1,1
106,80,80,0,0,785.611,785.611,95,38,1,1
107,87,87,0,0,775.604,775.604,95,39,1,1
108,94,94,0,0,830.229,830.229,95,40,2,1
109,87,87,0,0,942.605,942.605,95,41,1,1
110,80,80,0,0,899.082,899.082,95,42,1,1
111,80,80,0,0,826.572,826.572,95,43,1,2
112,83,83,0,0,911.789,911.789,95,44,1,1
113,77,77,0,0,1020.238,1020.238,95,45,1,1
114,83,83,0,0,934.977,934.977,95,46,1,1
115,108,109,0,0,896.609,896.609,95,35,2,2
116,109,108,0,0,1041.046,1080.054,95,35,1,1
117,110,103,10,13,1564.154,1564.154,95,26,2,2
118,105,72,56,93,1883.893,1964.78,95,26,1,0
119,108,81,85,112,1940.951,1941.878,95,27,1,1
120,107,87,39,60,2036.43,1949.513,95,28,2,2
121,111,88,55,77,1939.271,1979.271,95,29,1,1
122,111,89,98,118,2019.324,2088.564,95,30,1,1
123,105,87,88,111,2000.547,2129.468,95,31,2,1
124,109,92,84,102,2094.329,2103.277,95,32,1,1
125,109,98,67,77,2189.808,2070.433,95,33,2,2
126,111,92,70,82,1803.58,2080.472,95,34,1,1
127,107,108,82,86,1999.71,1880.101,95,25,1,1
128,111,58,92,140,1974.281,2205.31,95,25,2,1
129,110,69,85,126,2015.621,2058.991,95,26,2,1
130,110,77,82,117,2125.826,2149.975,95,27,1,1
131,111,90,94,115,2046.102,1672.237,95,28,1,1
132,110,87,95,119,1983.099,1989.829,95,29,2,1
133,110,85,87,115,2057.909,2077.909,95,30,2,2
134,111,89,83,102,2203.001,2059.804,95,31,1,1
135,111,92,79,96,1946.625,1808.339,95,32,2,1
136,110,94,95,110,2101.585,2162.892,95,33,1,1
137,109,102,83,94,1927.065,2074.425,95,34,1,2
138,110,99,77,85,2006.421,1869.718,95,35,2,1
139,111,106,103,109,2062.808,2191.859,95,36,1,1
140,111,108,39,41,1869.062,1933.106,95,27,1,2
141,109,87,90,114,1985.527,2028.639,95,27,2,1
142,110,86,90,113,1944.952,2020.588,95,28,1,1
143,108,88,114,138,1921.539,1904.017,95,29,1,1
144,111,81,59,85,2092.688,2118.196,95,30,2,1
145,109,103,70,79,1810.807,2039.946,95,31,1,1
146,111,82,75,102,2046.928,2158.1,95,32,1,1
147,111,104,84,88,2093.619,2093.619,95,33,2,2
148,109,106,92,104,2092.972,2153.227,95,34,1,1
149,110,100,58,64,2027.178,2007.178,95,35,2,1
150,111,97,103,114,2060.648,2009.161,95,36,2,2
151,109,108,68,71,2105.287,2114.458,95,27,1,1
152,109,76,61,93,2050.513,2174.147,95,27,1,1
153,111,77,72,102,2116.786,2117.821,95,28,2,1
154,111,88,64,93,2177.177,2112.144,95,29,1,2
155,109,81,89,116,2100.26,2176.668,95,30,2,1
156,108,79,146,172,2144.679,2184.679,95,31,1,1
157,106,100,152,162,2022.586,2022.586,95,32,2,1
158,110,102,126,134,2015.717,2140.284,95,33,1,1
159,111,101,122,132,2115.118,2004.883,95,25,2,2
160,110,71,170,208,1981.874,2264.57,95,25,1,1
161,109,81,182,210,1866.989,1858.034,95,26,1,1
162,110,86,101,125,2031.743,2063.107,95,27,2,1
163,109,88,147,168,2136.68,1965.419,95,28,1,1
164,111,81,108,138,2130.885,2151.032,95,29,1,1
165,111,88,169,191,1919.604,2074.979,95,30,2,1
166,111,87,135,157,2001.129,2238.874,95,22,1,1
167,110,60,123,173,1943.057,2206.571,95,22,2,1
168,110,61,130,181,2057.508,1979.784,95,23,1,1
169,111,69,133,174,2115.614,2115.614,95,24,1,1
170,111,89,140,166,1891.474,1899.013,95,25,2,1
171,111,68,185,221,2108.839,1928.978,95,26,1,1
172,108,80,185,218,2062.172,1990.986,95,27,1,1
173,110,77,151,182,1681.525,2082.453,95,28,2,1
174,111,89,148,170,2078.827,2078.827,95,29,1,1
175,111,82,175,203,1955.921,1970.211,95,30,1,1
176,111,82,49,55,2026.759,2160.081,95,31,2,2
177,107,94,0,0,1864.742,2023.37,95,32,1,1
178,106,99,0,0,1675.592,1913.798,95,33,2,1
179,111,94,0,0,1485.761,1871.206,95,34,2,1
180,19,82,0,0,1374.426,1745.198,95,35,0,2
181,0,0,0,0,1286.27,1946.27,95,36,0,0
182,0,0,0,0,0.0,0.0,95,37,0,0
183,0,0,0,0,0.0,0.0,95,38,0,0
184,0,0,0,0,0.0,0.0,95,39,0,0
185,0,0,0,0,0.0,0.0,95,40,0,0
186,0,0,0,0,0.0,0.0,95,41,0,0
187,0,0,0,0,0.0,0.0,95,42,0,0
188,0,0,0,0,0.0,0.0,95,43,0,0
189,0,0,0,0,0.0,0.0,95,44,0,0
190,0,0,0,0,0.0,0.0,95,45,0,0
191,0,0,0,0,0.0,0.0,95,46,0,0
192,0,0,0,0,0.0,0.0,95,47,0,0
193,0,0,0,0,0.0,0.0,95,48,0,0
194,0,0,0,0,0.0,0.0,95,49,0,0
195,0,0,0,0,0.0,0.0,95,50,0,0
196,0,0,0,0,0.0,0.0,95,51,0,0
197,0,0,0,0,0.0,0.0,95,52,0,0
198,0,0,0,0,0.0,0.0,95,53,0,0
